,ID,Species,Temperature Range
73,Q6FD56,Acinetobacter baylyi,<40
76,Q6FD56,Acinetobacter baylyi,<40
523,A0A0D7THE4,Acinetobacter baumannii,<40
542,A0A219CAR9,Acinetobacter baumannii,<40
537,A0A219CAR9,Acinetobacter baumannii,<40
539,A0A219CAR9,Acinetobacter baumannii,<40
541,A0A219CAR9,Acinetobacter baumannii,<40
524,A0A0D7THE4,Acinetobacter baumannii,<40
525,A0A0G4QMX9,Acinetobacter baumannii,<40
527,A0A0G4QMX9,Acinetobacter baumannii,<40
550,A0A5M3YZT2,Aspergillus terreus,<40
287,A0A1A5YLD7,Paenibacillus oryzae,<40
551,A0A5M3YZT2,Aspergillus terreus,<40
553,A0A5M3YZT2,Aspergillus terreus,<40
220,A0A2S5D2W9,Lysinibacillus sphaericus,<40
223,A0A2S5D2W9,Lysinibacillus sphaericus,<40
240,A0A7W3B187,Klebsiella sp.,<40
241,A0A7W3B187,Klebsiella sp.,<40
236,A0A7W3B187,Klebsiella sp.,<40
